"player_name","overall_rating","gk_rating","No_of_Presences","No_of_leagues"
"Tunay Torun",73,47,30,1
"Neil Taylor",74,67,100,1
"Mario Martinez",64,56,5,2
"Alberto Garcia",67,335,5,1
"Adrian Colunga",70,43,89,1
"Will Atkinson",61,48,2,1
"Antonio Apono",72,57,94,1
"Manuel Castro Pavon",66,48,5,1
"Mario Bermejo",68,58,32,1
"Carlos Martinez",78,49,114,1
"Markel Bergara",76,68,112,1
"Borja Viguera",71,48,13,1
"Vasco Fernandes",68,54,21,1
"Cristian Bustos",64,45,2,1
"Sergio Pelegrin",75,54,22,1
"David Rodriguez",72,52,2,1
"Eke Uzoma",61,33,1,1
"Foued Kadir",73,60,95,2
"Helder Tiago Guedes",71,53,20,1
"Stefan Nijland",69,59,53,1
"Fouad Idabdelhay",65,50,15,1
"Manuel Pascali",62,42,162,1
"Salva Sevilla",75,60,70,1
"Carlos Calvo",66,47,11,1
"Rodnei",65,5,55,1
"Diego Buonanotte",73,64,19,1
"Ciprian Tatarusanu",75,376,43,1
"Davide Astori",79,20,209,1
"Elinton Andrade",68,343,2,1
"Raul Rusescu",70,44,11,1
"Andy King",70,37,25,1
"Gabriel Torje",74,61,45,2
"Costel Pantilimon",76,378,52,1
"Yevheniy Konoplyanka",82,49,14,1
"Johny Placide",68,333,47,1
"Jean-Armel Kana-Biyik",74,64,142,1
"Bouchaib El Moubarki",60,114,5,1
"Jules Stephane Goda",61,309,3,1
"Kafoumba Coulibaly",61,50,88,1
"Michael Zullo",67,43,20,1
"Robbie Kruse",73,66,35,1
"Felipe Saad",65,50,18,1
"Herve Bazile",70,47,28,1
"Stephan Andrist",64,46,70,1
"Milos Krstic",64,65,9,1
"Adamo Coulibaly",69,42,26,1
"Younousse Sankhare",74,54,139,1
"Manuel Pamic",66,50,2,1
"Ben Hutchinson",56,65,3,1
"Siem de Jong",76,61,124,2
"Emilio Nsue",71,61,70,1
"Juanfran",74,59,89,1
"Facundo Parra",69,57,3,1
"Arnold Bouka Moutou",70,60,12,1
"Tony Varela",63,67,16,1
"Jerge Hoefdraad",62,53,4,1
"Gerson Sheotahul",64,45,12,1
"Ruud Boffin",73,368,6,2
"Bas Dost",79,52,143,2
"Teddy Chevalier",68,62,100,2
"Bojan Jorgacevic",70,334,78,1
"Roberto Rosales",76,58,186,3
"Sebastien Bruzzese",69,352,18,1
"Vusumuzi Prince Nyoni",64,47,82,1
"Cyprien Baguette,23",58,292,6,1
"Geoffrey Mujangi Bia",75,67,42,3
"Brice Jovial",70,50,21,1
"Nill De Pauw",70,56,78,2
"Benjamin Mokulu Tembe",70,73,44,1
"Robin Henkens",65,68,47,1
"David Hubert",68,64,97,1
"Giel Deferm",63,51,29,1
"Georgi Makaridze",61,289,2,1
"Levan Mchedlidze",71,55,8,1
"Daryl Janmaat",77,50,194,2
"Dario Lezcano",71,50,119,2
"Riccardo Cazzola",67,41,16,1
"Lorenzo Pasciuti",71,40,11,1
"Jem Karacan",69,49,21,1
"Andres Fernandez",77,379,147,1
"Simon Church",66,58,13,1
"Lauri Dalla Valle",64,55,5,1
"Simao",75,58,82,1
"Adrian Mrowiec",62,52,59,2
"Kamil Wilczek",70,49,32,2
"Abel Hernandez",73,43,55,2
"Magnus Eriksson",67,54,2,1
"John Bostock",68,64,13,1
"Gal Shish",64,53,16,1
"Gavin Hoyte",60,56,1,1
"Fran Merida",71,46,7,2
"Rafael",74,363,66,1
"Nacer Barazite",70,63,38,1
"Angel Montoro",70,64,5,1
"Bakary Sare",74,55,36,2
"Diego Angelo",72,57,13,1
"Victor Moses",76,56,97,1
"Luis Fernando Duarte Nunes,32",66,48,22,1
"Filip Djordjevic",76,48,54,2
"Ivan Kelava",71,353,9,1
"Carlos Zambrano",77,65,130,1
"Nikita Rukavytsya",64,41,24,2
"Guus Joppen",66,65,42,1
"Rydell Poepon",67,59,150,1
"Martin Zeman",66,45,13,1
"Gaston Sangoy",68,62,21,1
"Demetris Christofi",71,51,24,1
"Pavle Popara",60,44,1,1
"Ryan Shotton",70,51,33,1
"Pavels Steinbors",66,331,23,1
"Sanel Jahic",63,54,26,2
"Beram Kayal",71,49,58,1
"Ched Evans",68,52,2,1
"Ashley Barnes",71,47,28,1
"Zoltan Stieber",73,44,35,1
"Liam Hughes",46,93,3,1
"Bira Dembele",62,61,9,1
"Rudy Gestede",73,48,14,1
"Badis Lebbihi",54,116,1,1
"Eden Hazard",88,45,238,2
"Armin Bacinovic",70,60,35,1
"Theodor Gebre Selassie",75,48,100,1
"Artem Kravets",73,52,5,1
"Artis Lazdins",60,60,5,1
"Didier Ovono",70,349,84,2
"Krzysztof Maczynski",66,52,34,1
"Nils Petersen",75,53,58,1
"Alberto Botia",74,57,129,1
"Victor Sanchez Mata",76,47,160,2
"Kevin Koffi",64,41,19,1
"Nicolas Lodeiro",78,61,4,1
"Denis Halilovic",65,41,14,1
"Georginio Wijnaldum",80,54,200,2
"Elderson",75,68,94,2
"Milan Djuric",67,43,16,1
"Mate Jajalo",72,47,95,2
"Milan Vilotic",71,65,94,1
"Yohandry Orozco",68,52,5,1
"Saif Ghezal",68,50,61,1
"Ammar Jemal",70,63,34,2
"Amine Mohamed Chermiti",69,47,79,2
"Moussa Narry",69,49,38,1
"Ever Banega",81,45,141,1
"David Lomban",74,63,87,1
"Stewart Murdoch",56,47,13,1
"Paulo Henrique",69,47,30,2
"Mario Balotelli",79,12,112,2
"Kike Sola",71,31,53,1
"James Gibson",60,41,4,1
"Ivan Fatic",65,55,2,1
"Vegar Eggen Hedenstad",70,49,9,1
"Jack Rodwell",75,57,84,1
"Sergio Romero",76,379,90,4
"Ruud Vormer",76,49,128,2
"Wilfried Moimbe",69,56,8,1
"Marc Pfitzner",67,55,6,1
"Jan Washausen",60,60,1,1
"Alberto Paloschi",77,58,131,2
"Gary Irvine",64,54,66,1
"Craig Reid",62,57,25,1
"Vicente Guaita",77,384,125,1
"Sloan Privat",71,57,61,1
"Pape M'Bow",60,57,2,1
"Ruud Boymans",73,61,41,1
"Mauricio Isla",75,36,166,3
"Yann M'Vila",78,60,155,3
"Jose Nadson",68,48,35,1
"Wallace",65,45,24,1
"Marco Davide Faraoni",69,59,12,1
"Martyn Waghorn",66,57,1,1
"Jay Rodriguez",76,63,57,1
"Mohamed Chalali",60,44,3,1
"Benjamin Police",52,58,1,1
"Mohamed Youssouf",55,118,2,1
"Omer Toprak",81,57,151,1
"Steven Nzonzi",79,68,204,2
"Scott Fox",62,305,62,1
"Jacob Lensky",70,54,52,1
"Leroy Fer",75,61,165,2
"Jordy Buijs",67,42,136,1
"Vito Wormgoor",69,59,146,1
"Mitchell Donald",68,55,89,1
"Jan-Arie van der Heijden",72,44,177,1
"Marco van Duin",60,295,3,1
"Gregory van der Wiel",78,46,169,2
"Vurnon Anita",73,63,166,2
"John Goossens",70,48,46,1
"Marc McAusland",61,55,135,1
"James Tomkins",75,48,133,1
"Jack Collison",68,53,47,1
"Josimar Lima",64,57,16,1
"Niels Vorthoren",63,52,13,1
"Lex van Haeften",56,273,1,1
"Ryan Koolwijk",68,42,112,1
"Arjan van Dijk",63,314,12,1
"Daan Bovenberg",65,53,89,1
"Joshua John",72,60,20,1
"Tim Breukers",67,62,121,1
"Bart van Brakel",63,57,6,1
"Rick Verbeek",63,52,1,1
"Sjoerd Overgoor",66,62,90,1
"Rik Sebens",58,62,1,1
"Arnor Smarason",65,58,2,1
"Calvin Jong-a-Pin",68,57,50,1
"Geert Arend Roorda",65,54,24,1
"Donovan Deekman",59,43,5,1
"Jeroen Veldmate",67,67,41,1
"Martijn van der Laan",67,51,53,1
"Shkodran Metaj",65,50,23,1
"Douglas",73,50,124,1
"Marko Arnautovic",79,64,135,3
"Kees van Buuren",61,46,21,1
"Wesley de Ruiter",65,320,39,1
"Gianluca Nijholt",66,36,20,1
"Donny Gorter",66,53,89,1
"Michiel Kramer",73,65,66,1
"Kevin van Diermen",67,60,37,1
"Aron Gunnarsson",68,52,17,1
"Dion Malone",68,51,99,1
"Ruud van de Rijt",63,53,4,1
"Nacer Chadli",78,58,121,2
"Melvin de Leeuw",62,49,17,1
"Joey van den Berg",72,51,93,1
"Brayan Angulo",68,48,31,1
"Panagiotis Tachtsidis",74,62,70,1
"Matias Omar Degra",65,332,6,1
"Graham Cummins",60,50,22,1
"Stergos Marinos",70,61,39,1
"Matias Rodriguez",72,51,1,1
"Chris Herd",63,68,31,1
"Nikos Karelis",73,49,7,1
"Srdjan Blazic",64,298,11,1
"Matias Alustiza",74,46,1,1
"Callum McGregor",67,54,22,1
"Christian Bekamenga",69,61,14,1
"Zsolt Laczko",63,35,6,1
"Laure",74,49,84,1
"Thomas Bosmel",63,316,3,1
"Ismaila N'Diaye",64,57,29,2
"Marco Pappa",70,52,1,1
"Vicente Iborra",81,54,142,1
"Loic Nestor",65,61,6,1
"Selim Bouadla",64,61,6,2
"Simone Romagnoli",70,55,26,1
"Daniele Ragatzu",63,44,7,1
"Mathieu Dossevi",75,60,124,2
"Luca Siligardi",73,56,33,1
"Kyle Naughton",74,51,92,1
"Alfred N'Diaye",77,56,107,3
"Simone Benedetti",68,50,3,1
"Jean-Philippe Sabo",64,50,1,1
"Daniel Opare",73,50,35,2
"Kwadwo Asamoah",79,21,168,1
"Maynor Figueroa",69,55,206,1
"Efrain Juarez",68,45,20,2
"Marco Fabian",73,61,9,1
"Michael Basser Chretien",69,58,66,1
"Amadou Sidibe",63,37,17,1
"Chaker Zouaghi",63,52,26,1
"Ahmed El Mohamady",74,47,107,1
"Gilberto",62,41,21,1
"Manucho",76,54,59,2
"Tsepo Masilela",73,50,11,1
"Emmanuel Mayuka",70,61,53,3
"Kagisho Dikgacoi",65,48,32,1
"Erwin Mulder",74,377,133,1
"Diallo Guidilleye",69,58,5,1
"Charlison Benschop",72,58,54,3
"Serhat Koc",66,114,2,1
"Paul Hanlon",63,46,119,1
"Igor Martinez",67,50,5,1
"Cala",73,62,58,2
"David Obua",62,46,57,1
"Vitor Gomes",72,52,76,1
"Roberto",69,38,8,1
"Erik Falkenburg",69,58,147,1
"Lorenzo Ariaudo",71,47,68,1
"Maikel van der Werff",72,49,70,1
"Boubacar Mansaly",60,48,1,1
"Hans Martinez",69,42,1,1
"Ariel Borysiuk",68,66,57,2
"Michael Kovacevic",61,49,64,1
"Ignacio Camacho",80,55,126,1
"Marinho",70,53,68,1
"Carlos Labrin",68,67,9,1
"Joao Luiz",65,57,33,1
"Emil Lyng",62,60,3,2
"Mads Albaek",72,52,23,1
"Adrian Nikci",66,45,53,2
"Roman Buerki",80,396,175,2
"Aron Liechti",56,119,2,1
"Michael Siegfried",58,59,60,1
"Hal Robson-Kanu",66,59,13,1
"Emir Sinanovic",46,122,10,1
"Rostyn Griffiths",66,49,15,1
"Moreno Costanzo",69,59,164,1
"Mike Gomes",55,46,16,1
"Maxime Vuille",54,125,1,1
"Burim Kukeli",61,69,123,1
"Ridge Munsy",65,64,22,1
"Janko Pacar",59,50,4,1
"Fabio Daprela",67,40,20,3
"Sander Fischer",70,60,62,1
"Joey Suk",63,45,14,2
"Mauro Dos Santos",72,53,54,1
"Facundo Sebastian Roncaglia",75,65,100,2
"Jens Hegeler",73,61,76,1
"Pascal Schuerpf",58,58,19,1
"Junior Hoilett",72,50,82,1
"Bruno Severino",67,42,1,1
"Lucas Armando Mareque",71,60,38,1
"Adrian Daniel Calello",61,56,8,1
"Hernan Dario Bernardello",69,57,62,1
"Mauro Formica",72,64,27,2
"Mateo Pablo Musacchio",81,46,115,1
"Cristian Alvarez",71,355,62,1
"Mariano Angel Paglialunga",66,60,1,1
"Milton Joel Caraglio",72,50,3,1
"Santiago Morero",66,49,40,1
"Lucas Pratto",79,59,4,1
"Chris Basham",69,48,6,1
"Nicolas Bianchi Arce",66,54,5,1
"Jonathan Cristaldo",74,63,19,1
"Damian Leandro Casalinuovo",61,42,10,1
"Danny Welbeck",79,53,98,1
"Victor Vazquez",76,55,66,1
"Mirko Boland",72,60,29,1
"Liam Bridcutt",74,62,18,1
"Claudio Yacob",78,41,100,1
"Marcos Antonio",67,55,6,2
"Stjepan Kukuruzovic",63,45,62,1
"Vullnet Basha",67,52,44,1
"Mathieu Debonnaire",56,279,8,1
"Alexandre Pasche",61,43,47,1
"Tony Jantschke",79,43,147,1
"Alvaro Dominguez",78,66,138,2
"Thomas Piermayr",60,50,16,1
"Cristian Gamboa",74,56,1,1
"David Witteveen",61,45,4,1
"Miro Varvodic",64,313,7,1
"Goran Jozinovic",57,50,12,1
"Mario Maloca",68,57,17,1
"Mario Ticinovic",64,58,21,1
"William Buckley",69,43,9,1
"Jack Compton",60,47,3,1
"Dejan Lovren",79,58,144,2
"Silvio Rodic",61,305,17,1
"Lukas Marecek",71,51,33,2
"Joel Ekstrand",71,72,4,1
"Cristian Maidana",74,63,2,1
"Wesley",73,50,19,1
"Valery Nahayo",68,30,17,1
"Luca Di Matteo",65,47,2,1
"Kevin Pezzoni",64,44,58,1
"Abiola Dauda",67,63,21,2
"Kevin Strootman",80,43,129,2
"Helton Dos Reis",51,61,2,1
"Juan Angel Neira",63,54,1,1
"Jan Moravek",71,47,52,1
"Mateus",73,45,49,1
"Daniel Pavlovic",65,61,126,2
"Jonathan Urretaviscaya",72,56,20,2
"Claudemir",71,65,50,2
"Emiliano Ariel Dudar",63,45,52,1
"Pedrinho",70,64,70,2
"Nick von Niederhausern",59,65,36,1
"Marwin Hitz",77,380,89,1
"Luca Zuffi",76,58,92,1
"Anthony Sauthier",62,50,35,1
"Vincenzo Rennella",71,59,28,3
"Manolo Reina",68,341,13,1
"Miguel Britos",74,57,146,2
"Lukas Schenkel",58,38,81,1
"Adrian Winter",66,68,123,1
"Jerome Thiesson",60,41,172,1
"Pa Modou Jagne",65,57,102,1
"Michal Pazdan",69,62,50,1
"Michal Gliwa",55,264,9,1
"Grzegorz Sandomierski",64,324,20,1
"Luis Alfonso Henriquez",65,50,23,1
"Fabian Giefer",73,353,42,1
"Paulinho",79,52,31,1
"Bartosz Kaniecki",59,286,2,1
"Leo Fortunato",69,50,1,1
"Nemanja Matic",83,57,144,3
"Martin Juhar",63,63,10,1
"Mariusz Przybylski",64,63,20,1
"Brown Ideye",75,57,76,3
"Danijel Subasic",81,403,103,1
"Sreten Sretenovic",66,51,23,1
"Guilherme Santos",66,41,13,1
"Anton Sloboda",63,44,23,1
"Kristian Kolcak",62,71,15,1
"Michal Peskovic",66,330,14,1
"Fabian Monzon",69,61,57,3
"Cristian Pasquato",71,27,8,1
"Matija Skarabot",61,45,12,1
"Goran Galesic",65,52,6,1
"Sebino Plaku",60,52,10,1
"Delvin N'Dinga",73,50,69,1
"Ridge Mickael Mobulu",52,52,1,1
"Paulo Arantes",62,38,3,1
"Goldim Diego Gaucho",64,56,23,1
"Luis Manuel",67,46,29,1
"David Simao",73,65,96,1
"Luisinho",74,49,65,2
"Eder Sciola",63,56,9,1
"Zaur Sadaev",70,50,13,1
"Ricardo Rodriguez",82,66,147,2
"Konstantin Rausch",72,54,158,1
"Mark Ridgers",60,303,19,1
"Jake Livermore",74,51,79,1
"Leonardo Sanchez",67,51,11,1
"Dejan Skolnik",64,57,26,1
"Jules Reimerink",65,57,11,1
"Grzegorz Kuswik",67,64,43,1
"Nemanja Nikolic",74,53,29,1
"Baba",72,54,49,2
"Hiroshi Kiyotake",77,54,111,1
"Ramon Cecchini",57,57,6,1
"Kristian Kuzmanovic",57,63,1,1
"Garath McCleary",72,60,15,1
"El Fardou Ben Nabouhane",54,51,1,1
"Eoin Doyle",65,71,29,1
"Jose Velazquez",69,54,15,1
"Juan Falcon",67,50,12,1
"Duvan Zapata",77,40,26,1
"Genki Omae",68,55,2,1
"Yuki Otsu",66,58,8,1
"Hiroki Sakai",72,51,86,1
"Ricky van Wolfswinkel",73,54,130,5
"Marcin Wodecki",60,51,2,1
"Thomas Mueller",86,52,198,1
"Admir Aganovic",61,55,1,1
"Tadeusz Socha",63,58,10,1
"Lukasz Tyminski",58,63,16,1
"Krzysztof Janus",62,59,15,1
"Adrian Paluchowski",61,117,1,1
"Maksymilian Rogalski",63,54,16,1
"Paolo Hurtado",72,55,42,1
"Jiloan Hamad",71,52,5,1
"Tjaronn Chery",71,53,121,1
"Sean Morrison",70,65,15,1
"Radoslaw Pruchnik",57,45,19,1
"El-Arbi Hilal Soudani",72,50,21,1
"Kheireddine Kiko Zarabi",69,56,2,1
"Clemens Walch",65,5,9,1
"Filip Luksik",62,53,11,1
"Bigambo Rochat",53,55,3,1
"Anatole Ngamukol",66,50,56,1
"Bastian Schulz",67,49,7,1
"Freddie Sears",70,58,13,1
"Luis Pedro",67,53,7,1
"Alexander Buettner",74,57,76,3
"Edson Henrique",66,47,16,1
"Fedor Smolov",76,66,5,1
"Michu",76,53,87,3
"Lukasz Hanzel",63,47,29,1
"Rafik Halliche",68,50,29,1
"Giancarlo Gonzalez",76,56,56,1
"Pape Moussa Diakhate",54,59,8,1
"Jurgen Prutsch",61,50,4,1
"Eyong Enoh",71,63,92,3
"Maciej Dabrowski",68,52,28,1
"Wiljan Pluim",66,50,83,1
"Robbin Ruiter",74,371,122,1
"Anthony Lippini",65,48,26,1
"Nikola Gulan",67,50,15,2
"Agim Ibraimi",74,15,8,1
"Peter Pawlett",68,62,97,1
"Ryan Jack",69,56,150,1
"Jordi Gomez",70,47,88,1
"Bernard Parker",73,67,3,1
"Darko Lazovic",73,55,5,1
"Alex McCarthy",75,368,22,1
"Ignacio Fideleff",73,52,4,1
"Reginald Goreux",71,57,64,1
"Moussa Gueye",62,44,7,2
"Marcus Olsson",69,62,10,1
"Agon Mehmeti",64,47,10,2
"Zavon Hines",63,49,9,1
"Aytac Sulu",75,48,33,1
"Niall McGinn",70,59,133,1
"Sebastian Rudy",76,56,153,1
"Geoff Cameron",76,53,114,1
"Luis Seijas",72,71,21,1
"Milan Gajic",60,56,114,1
"Rasmus Joensson",68,57,3,1
"Slobodan Medojevic",73,60,38,1
"Danijel Aleksic",66,70,33,2
"Robert Zillner",66,56,3,1
"Mickael Facchinetti",63,50,105,1
"Kim Ojo",65,53,4,1
"Jonny Rowell",65,55,25,1
"Nahuel Valentini",63,42,12,1
"Fernando Russi",63,41,1,1
"Geoffrey Tulasne",62,53,4,1
"Matias Cabrera",72,15,16,2
"Mathis Bolly",67,41,5,1
"Tobias Sana",64,54,11,1
"Jonas Loessl",76,379,67,1
"Douglas",73,371,69,1
"Chengdong Zhang",70,42,20,1
"Nabil Bahoui",72,43,2,1
"Omar Kossoko",66,58,12,2
"Ahmed Kashi",70,56,15,1
"Aatif Chahechouhe",75,50,1,1
"Nenad Krsticic",72,56,32,1
"Ross Forbes",54,40,27,1
"Philippe Koch",66,50,183,1
"Sercan Sararer",69,54,27,1
"Gianluca Frontino",65,50,21,1
"Muhamed Keita",65,48,5,1
"Fabio Francesco Sciacca",63,38,7,1
"Alban Joinel",58,296,1,1
"David Alaba",85,50,126,1
"Moussa Maazou",73,58,39,3
"Marc van de Maarel",69,42,148,1
"Adrian Chomiuk",52,46,1,1
"Juan Forlin",73,44,97,1
"Sidnei",77,61,92,2
"Eduardo Gottardi",74,368,68,1
"Adriano",68,125,1,1
"Tcho",68,46,1,1
"Wellington",68,51,4,1
"Renan",69,51,27,2
"Mariano",77,56,135,2
"Leandro Salino",74,50,52,1
"Mikkel Diskerud",70,60,2,1
"Yang Wang",60,44,3,1
"Fabiano",74,373,45,1
"Aleksandar Prijovic",71,52,38,2
"Jonjo Shelvey",77,64,93,1
"Matthew Phillips",73,66,25,1
"Scott Robinson",61,54,64,1
"Grant Gillespie",62,45,59,1
"Jordan Kirkpatrick",47,59,1,1
"Dragan Mihajlovic",51,44,14,1
"Dugary Ndabashinze",64,51,17,1
"Federico Santander",71,52,17,1
"Anders Christiansen",72,45,2,1
"Amir Abrashi",71,70,106,1
"Akwetey Mensah",60,54,5,1
"Felipe Mattioni Rohde",69,59,18,1
"Rafael Toloi",74,63,23,1
"Giacomo Bonaventura",80,60,131,1
"Steven Meechan",58,63,1,1
"James Vincent",63,66,43,1
"Declan Rudd",70,351,12,1
"Renatinho",70,56,3,1
"Bruno Perone",63,57,1,1
"Amr Zaki",71,52,24,1
"Orhan Mustafi",57,39,22,2
"Anderson Luis",71,50,65,1
"Hector Rodas",69,53,26,1
"Marcel Risse",75,51,94,1
"Rafal Pietrzak",61,55,4,1
"Marquinho",75,52,40,1
"Mauricio",78,49,71,2
"Henrique",76,59,89,3
"Luis Alberto",70,68,40,1
"Ze Eduardo",64,47,6,1
"Vagner",72,356,81,2
"Alexander Dragovic",78,49,77,1
"Makelele",67,41,38,1
"Ondrej Celustka",70,58,14,1
"Kevin Piere Lafrance",59,55,3,1
"Nico Abegglen",60,63,34,1
"Steven Deana",60,298,8,1
"Bryan Rodriguez",67,54,4,1
"Edimar Fraga",73,59,82,2
"Walter",77,49,4,1
"Mohamed Coulibaly",62,46,1,1
"Abdelhamid El Kaoutari",73,47,138,2
"Ostoja Stjepanovic",64,51,18,1
"Emmanuel Imorou",72,58,43,2
"Sebastian Mielitz",72,358,60,1
"Javi Castellano",72,57,1,1
"Jonathas",79,46,66,3
"Souza",76,47,5,1
"Donovan Slijngard",61,45,31,1
"Simone Colombi",68,331,5,1
"Lewis Holtby",77,52,150,2
"Aislan",65,48,14,1
"Almeida Borges Leandro",59,36,1,1
"Ivan Strinic",73,55,12,1
"Oscar",82,61,94,1
"Sandro Laurindo da Silva",69,54,11,1
"Haris Vuckic",65,52,2,1
"Robert McHugh",61,56,7,1
"Hannes Thor Halldorsson",67,325,5,1
"Jon Gudni Fjoluson",63,67,1,1
"Holmar Oern Eyjolfsson",67,53,2,1
"Franco Daniel Jara",73,58,32,2
"Javier Pastore",84,51,175,2
"William Matheus",72,73,19,1
"Felipe",73,70,48,2
"Gerson Magrao",69,52,4,1
"Luca Ceccarelli",68,43,30,1
"Hendry Thomas",68,50,49,1
"Emilio Izaguirre",71,48,144,1
"Johann Berg Gudmundsson",71,45,61,1
"Alfred Finnbogason",75,63,86,4
"Marco Reus",86,61,185,1
"Khaleem Hyland",70,49,94,1
"Andrea Rispoli",64,60,39,1
"Pablo De Blasis",75,48,31,1
"Danilo D'Ambrosio",74,62,75,1
"John Guidetti",74,56,51,3
"Tiago Luis",71,56,2,1
"Joo-Ho Park",74,58,90,2
"Chung-Yong Lee",72,35,56,1
"Mamadou Bagayoko",66,42,21,1
"Caleb Patterson-Sewell",63,323,3,1
"Andis Shala",59,51,5,1
"Benoit Ladriere",61,52,9,1
"Jo Coppens",63,319,29,1
"David Vandenbroeck",66,60,52,1
"Thomas Kaminski",69,345,48,1
"Adlene Guedioura",70,59,19,1
"Thomas Matton",72,42,67,1
"Franck Berrier",72,50,107,1
"Miguel Dachelet",64,50,47,1
"David Meyler",71,63,59,1
"Jonatan Johansson",69,47,4,1
"Floyd Ayite",75,57,94,1
"Benjamin Moukandjo",77,58,92,1
"Antons Kurakins",58,46,31,1
"Henri Anier",61,58,20,1
"Thierry Doubai",67,54,89,2
"Joel Mall",65,323,67,1
"Stephane Garcia",57,124,1,1
"Damian Bellon",56,120,1,1
"Serey Die",75,64,140,2
"Admir Mehmedi",77,66,112,2
"Jefferson Nascimento",79,63,82,1
"Dennis Hediger",63,53,144,1
"Dario Dumic",63,64,14,1
"Airton",71,57,7,1
"Francisco Sandaza",68,60,46,1
"Mario Leitgeb",63,47,8,1
"Philipp Bargfrede",74,54,117,1
"Mustapha Yatabare",70,55,55,1
"Edouard Butin",65,51,35,1
"Nolan Roux",75,49,148,1
"Baptiste Schmisser",65,59,22,1
"Tino Costa",76,56,110,3
"Jean Alain Fanchone",65,50,10,1
"Valdas Trakys",63,51,4,1
"Philipp Zulechner",66,51,2,2
"Yonathan Del Valle",75,55,34,1
"Raffaele De Vita",64,54,20,1
"Mervan Celik",69,61,11,1
"Rafal Gikiewicz",71,361,9,1
"Krzysztof Krol",60,46,17,1
"Jocelyn Roux",61,41,33,1
"Saroa",56,117,1,1
"Szymon Matuszek",59,46,3,1
"Michal Buchalik",63,310,32,1
"Semir Stilic",74,57,27,1
"Ibrahima Niasse",59,41,34,1
"Dylan Gissi",60,61,1,1
"Martin Steuble",58,45,3,1
"Marc Albrighton",75,61,90,1
"Nathan Delfouneso",66,45,3,1
"Nathan Baker",71,51,72,1
"Martin Baran",65,55,22,1
"Pavol Cicman",62,54,6,1
"Sinisa Andjelkovic",74,49,57,1
"Leonard Kweuke",75,49,1,1
"Lukasz Burliga",64,46,61,1
"Dirceu",67,42,23,1
"David Addy",65,55,58,2
"Tommy Oar",71,67,82,1
"Matteo Tosetti",60,46,6,1
"Vincent Ruefli",69,49,111,1
"Guillaume Katz",60,50,64,1
"David Frey",50,54,1,1
"Steven Zuber",73,60,111,2
"Milos Kosanovic",72,46,62,2
"Macedo Novaes",65,332,22,1
"Milan Milanovic",65,54,4,1
"Nikola Djurdjic",71,55,21,1
"Odair Fortes",68,50,70,1
"Jozsef Varga",69,40,6,1
"Patrick Ziegler",68,56,23,1
"Dennis Diekmeier",75,48,144,1
"Tobias Kempe",70,65,9,1
"Timo Perthel",70,44,8,1
"Benjamin Kirsten",67,324,6,1
"Daniel Didavi",79,53,67,1
"Patrick Funk",66,57,7,1
"Boris Vukcevic",69,47,40,1
"Julian Schieber",74,55,66,1
"Sebastian Rode",79,49,72,1
"Viktor Bopp",60,54,6,1
"Mehmet Ekici",77,53,53,1
"Enda Stevens",65,55,6,1
"Milan Badelj",78,52,101,2
"Kaja Rogulj",65,49,23,1
"Sergey Khizhnichenko",57,44,8,1
"Lennart Hartmann",58,51,1,1
"Johan Maartensson",67,62,47,1
"Richard Guzmics",68,44,36,1
"Barry Douglas",70,57,81,2
"Jon Robertson",58,44,10,1
"Samuel Scheimann",64,53,29,1
"Kevin Brands",63,54,7,1
"John Verhoek",67,53,14,2
"Wilfried Bony",80,41,113,2
"Danilo",66,45,12,1
"Toni Sunjic",73,59,27,2
"Danny Hoesen",68,60,32,1
"Bruno Andrade",68,64,23,1
"Luciano Becchio",67,47,2,1
"Zargo Toure",70,47,38,1
"Frederic Sammaritano",71,54,36,1
"Mehdi Mostefa",72,45,129,1
"Yannis Tafer",67,59,74,2
"Jack Wilshere",81,56,93,1
"Fausto Rossi",72,85,40,1
"Robbert Te Loeke",62,308,2,1
"Soufiane Dadda",63,56,1,1
"Rajiv van La Parra",67,69,48,2
"Efe Ambrose",69,64,90,1
"Shinji Kagawa",82,50,125,2
"Sung-Yueng Ki",77,49,133,2
"Marko Jovanovic",65,46,14,1
"Nenad Tomovic",75,52,132,1
"Shaun Cummings",69,47,9,1
"Marcos Paulo",69,50,53,1
"Jean-Jacques Gosso",68,53,50,1
"Helder",64,33,20,1
"Sylvio Ronny Rodelin",70,57,65,2
"Jorge Claros",67,47,36,1
"Tripy Makonda",67,59,18,2
"Jean-Ecudes Maurice",62,53,3,1
"Franck Tabanou",76,59,171,1
"Benjamin Huebner",74,55,30,1
"Dennis Daube",67,67,7,1
"Stephan Hain",66,58,6,1
"Kevin Trapp",82,406,147,2
"Roman Neustaedter",74,61,169,1
"Anderson",76,59,72,1
"Tengarrinha",66,51,44,1
"Stijn Wuytens",69,64,81,2
"Jose Luis Fernandez",71,56,1,1
"Joel Ward",76,43,103,1
"Carlao",69,60,104,1
"Bryan Linssen",72,51,128,1
"Maikel Kieftenbeld",70,48,125,1
"Wout Droste",70,58,73,1
"Fallou Diagne",74,55,89,2
"Michal Janota",63,65,22,1
"Said Husejinovic",64,41,1,1
"Leon Balogun",73,49,34,1
"Luiz Gustavo",83,52,193,1
"Taner Yalcin",70,48,14,1
"Richard Sukuta-Pasu",65,45,28,2
"Mohamed Amsif",69,346,25,1
"Alexander Esswein",73,56,77,1
