"player_name","overall_rating","gk_rating","No_of_Presences","No_of_leagues"
"Paul Dixon",67,62,134,1
"Alan Mannus",68,341,145,1
"Roei Dayan",64,52,12,1
"Maor Melikson",73,54,37,1
"Gal Alberman",71,156,4,1
"Dekel Keinan",65,44,2,1
"Lior Rafaelov",77,52,59,1
"Eden Ben Basat",73,52,55,1
"Eliran Atar",69,46,10,1
"Yoav Ziv",66,133,12,1
"Vladimir Dvalishvili",67,55,18,1
"Jasmin Buric",70,341,35,1
"Edin Dzeko",80,63,168,3
"Veldin Muharemovic",57,119,1,1
"Amir Spahic",59,52,2,1
"Davor Landeka",58,66,5,1
"Sulejman Smajic",66,52,12,1
"Ivan Radovanovic",73,27,104,1
"Stanley Aborah",65,62,6,1
"Jovan Kostovski",66,69,6,1
"Boban Bajkovic",67,336,16,1
"Marko Perovic",70,43,3,1
"Simon Vukcevic",71,51,23,2
"Milan Smiljanic",62,55,7,1
"Dusan Veskovac",70,59,147,2
"Branko Lazarevic",62,53,4,1
"Gojko Kacar",72,56,83,1
"Nikola Nikezic",61,120,1,1
"Aleksandar Kolarov",78,61,144,2
"Andjelko Djuricic",68,344,16,1
"Savo Pavicevic",67,129,9,1
"Mladen Lazarevic",61,127,13,1
"Ivan Stevanovic",65,46,5,1
"Nikola Vukcevic",73,67,12,1
"Pavle Ninkov",68,62,73,1
"Konstantin Vassiljev",71,56,24,1
"Mikhail Sivakov",61,58,6,1
"Anton Putsila",70,51,37,1
"Zlatko Janjic",65,59,1,1
"Marnix Kolder",65,51,46,1
"Aloys Nong",68,46,56,1
"Claude Gnakpa",58,57,2,1
"Carlos Carmona",72,61,9,1
"Anther Yahia",64,45,41,1
"Kenny Deuchar",65,118,16,1
"David Barron",59,57,52,1
"Iain Davidson",56,43,38,1
"Andy Jackson",61,46,9,1
"Martin Canning",63,51,80,1
"Jim McAlister",64,57,74,1
"Chris Millar",62,63,171,1
"Gavin Skelton",61,53,36,1
"Darren McGregor",63,54,73,1
"Liam Buchanan",59,59,14,1
"Stuart Kettlewell",61,41,36,1
"Jeremy Perbet",72,47,77,2
"Gareth Wardlaw",62,56,12,1
"Iain Vigurs",67,58,84,1
"Jacob Mulenga",69,53,76,1
"Ghislain Gimbert",69,61,5,1
"Nassim Akrour",65,53,49,1
"Angelo",67,57,49,1
"Robert Braber",64,54,96,1
"Edouard Duplan",72,62,145,1
"Andrew Reid",70,52,32,1
"Dusan Kuciak",72,348,50,1
"Jordan Loties",70,53,111,2
"Emanuel Obiora Odita,19",65,120,6,1
"Matt Done",63,40,6,1
"Mariano Pavone",70,61,7,1
"Matias Fritzler",66,51,9,1
"Diego Valeri",77,60,3,2
"Leandro Gioda,28",71,59,8,1
"Marcos Aguirre",65,45,3,1
"Pablo Javier Perez",76,62,5,1
"Maximiliano Pellegrino",66,41,34,1
"Hernan Pellerano",70,56,54,1
"Mauro Zarate",76,57,99,2
"Jose Sosa",80,54,19,3
"Marcos Angeleri",76,48,58,1
"Jose Maria Basanta",75,51,21,1
"Loic Loval-Landre",65,42,8,1
"Jose Ze Pedro",67,53,20,1
"Tiago Targino",70,40,34,1
"Ferreira de Matos Alonso",71,56,16,1
"Nicolas Navarro",67,331,16,1
"Lucas Barrios",75,65,91,2
"Cristian Llama",64,65,32,1
"Roman Martinez",69,50,19,1
"Marco Ruben",76,47,61,2
"Pablo Barzola",64,47,43,1
"Federico Almerares",66,60,25,1
"Jose Gustavo Sand",68,65,2,1
"Christian Fernandez",67,54,62,1
